County,Cohabiting.household,Cohabiting.household_ChildrenUnder18,MaleHouseholder_NoPartner,MaleHouseholder_NoPartner_ChildrenUnder18,MaleHouseholder_LivingAlone,MaleHouseholder_LivingAlone_Over65,FemaleHouseholder_NoPartner,FemaleHouseholder_NoPartner_ChildrenUnder18,FemaleHouseholder_LivingAlone,FemaleHouseholder_LivingAlone_Over65,Households_WithUnder18,Households_WithOver65,Over15_Male,Over15_Male_NeverMarried,Over15_Male_Married,Over15_Male_Separated,Over15_Male_Widowed,Over15_Male_Divorced,Over15_Female,Over15_Female_NeverMarried,Over15_Female_Married,Over15_Female_Separated,Over15_Female_Widowed,Over15_Female_Divorced,Nursery.preschool.enrollment,Kindergarten.enrollment,Elementary.school.enrollment,High.school.enrollment,Under18_With.Disability,Age18to64_With.Disability,Over65_With.Disability,Over16,Over16_Employed,Over16_Unemployed,Over16_ArmedForces,Over16_Female,Over16_Female_Employed,Householder_ChildrenUnder6,Householder_Children6to17,BusinessOccupation,ServiceOccupation,SalesOccupation,NaturalResourcesOccupation,TransportationOccupation,AgricultureIndustry,ConstructionIndustry,MfgIndustry,WholesaleIndustry,RetailIndustry,WarehousingIndustry,InformationIndustry,InsuranceIndustry,WasteManagementIndustry,EducationServicesIndustry,EntertainmentIndustry,OtherServicesIndustry,PublicAdminIndustry,Household.Income_Less10k,Household.Income_10to15k,Household.Income_15to25k,Household.Income_25to35k,Household.Income_35to50k,Household.Foodstamp.benefits,Age19to64_Employed,Age19to64_Employed_NoHealthInsurance,Age19to64_Unemployed,Age19to64_Unemployed_NoHealthInsurance,Total.Population,Total.Population.Male,Total.Population.Female,Under5,Age5to9,Age10to14,Age15to19,Age20to24,Age25to34,Age35to44,Age45to54,Age55to59,Age60to64,Under18,Over18,Over65,Over18_Male,Over18_Female,Over65_Male,Over65_Female,White,African.American,Native.American,Asian,Hispanic
Albany,11,4,25,1,20,6,40,7,23,10,33,39,124,53,55,2,4,10,136,50,57,1,11,16,4,3,25,14,2,19,14,257,161,7,0,135,79,18,35,79,27,33,10,12,1,8,8,3,15,6,3,12,21,42,14,8,20,7,7,8,11,14,14,146,6,5,1,306,148,158,15,15,16,23,32,41,35,37,21,19,56,250,52,119,130,22,30,227,38,0,21,306
Broome,6,2,16,1,12,4,23,5,14,7,19,25,78,34,34,1,2,7,82,28,36,2,7,8,2,3,15,9,2,16,11,158,84,3,0,81,41,11,22,32,18,17,6,11,0,5,8,2,10,4,1,4,7,28,7,5,3,6,4,9,7,11,13,76,5,3,0,192,95,98,10,10,10,15,19,21,20,22,14,13,37,155,37,75,80,16,21,163,10,0,9,192
Cattaraugus,2,1,7,1,5,2,8,1,5,3,9,11,31,10,16,0,1,3,31,7,16,1,3,4,1,1,7,4,1,7,5,61,34,1,0,31,17,5,11,12,6,6,4,6,1,3,5,1,4,2,0,2,2,9,3,1,2,2,3,4,3,4,5,30,3,1,0,77,38,38,4,5,5,5,5,8,8,10,6,6,17,60,15,29,30,7,8,70,1,2,1,77
Cayuga,4,2,6,0,5,2,8,1,4,3,8,11,33,12,14,1,1,4,32,9,14,0,3,5,1,1,7,4,1,6,4,63,37,1,0,31,17,4,9,12,8,7,4,5,1,3,4,1,4,2,0,1,3,9,3,2,3,2,1,3,2,5,5,33,2,1,0,77,39,37,4,4,4,5,4,10,9,10,6,6,15,62,15,32,30,7,8,70,3,0,0,77
Chautauqua,5,2,10,1,8,3,17,2,12,6,13,19,51,19,25,1,1,5,55,16,24,1,6,7,2,1,11,6,2,12,8,105,55,3,0,54,27,8,15,19,11,11,5,9,1,4,10,1,5,2,1,2,4,15,5,2,3,5,4,8,5,7,11,50,4,2,0,128,63,65,7,7,8,9,8,15,13,16,10,10,26,102,26,50,52,12,14,116,3,0,1,128
Chemung,3,1,6,0,5,1,9,1,6,4,9,12,34,14,16,1,1,3,35,11,16,1,3,5,1,1,8,4,1,6,5,68,37,3,0,35,19,4,12,14,7,8,3,5,1,2,4,0,4,2,1,2,3,12,3,1,2,3,1,3,3,4,5,34,1,2,0,84,42,42,5,5,6,5,5,11,10,11,7,6,18,66,16,33,33,7,9,74,5,0,1,84
Clinton,3,1,6,1,5,1,9,1,5,3,7,10,36,15,15,0,1,3,33,10,15,1,4,4,1,1,7,3,2,7,5,68,35,1,0,33,17,4,9,12,8,7,3,5,1,2,3,1,5,1,1,1,2,11,2,1,3,3,1,2,3,4,5,32,2,1,0,80,41,39,4,4,4,6,7,10,9,10,6,6,14,66,14,34,32,6,7,73,3,0,1,80
Dutchess,7,1,20,1,15,4,28,4,16,9,28,38,124,46,60,3,4,11,126,39,60,3,11,13,4,3,25,16,2,17,15,246,149,5,1,125,73,15,36,63,28,32,14,13,2,9,8,3,16,8,2,10,17,45,14,8,6,5,4,8,7,9,9,135,9,4,1,294,146,148,13,14,17,21,21,35,34,42,23,22,55,238,52,118,121,23,29,226,31,1,10,294
Erie,32,10,81,5,60,17,124,22,75,38,103,123,367,147,168,5,11,35,399,133,171,6,40,50,12,9,84,44,9,60,50,755,460,17,1,393,225,56,119,192,83,98,32,55,1,23,45,11,52,22,7,35,48,135,39,20,21,26,18,38,38,48,58,419,15,15,2,919,445,474,50,51,52,58,60,131,103,117,68,64,187,732,165,350,383,71,94,708,121,4,35,919
Jefferson,4,1,8,1,6,1,9,2,5,2,13,11,47,18,22,1,1,5,41,9,22,1,3,6,2,2,11,5,2,8,6,87,38,2,13,41,19,9,14,13,9,9,4,4,1,3,2,1,6,1,1,1,3,11,3,1,4,3,2,4,4,6,8,35,3,2,0,111,58,53,9,8,7,7,11,19,13,12,6,6,27,85,15,45,40,7,8,95,7,0,2,111
